"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2022","761.63","709.29","763.03","691.15","","7.45%"
"08/01/2022","730.06","762.63","791.39","729.55","","-4.15%"
"09/01/2022","659.46","729.41","755.10","659.15","","-9.67%"
"10/01/2022","704.61","659.24","708.96","642.57","","6.85%"
"11/01/2022","755.40","704.88","758.03","680.59","","7.21%"
"12/01/2022","724.01","759.38","765.55","715.18","","-4.16%"
"01/01/2023","775.31","724.01","779.03","719.76","","7.09%"
"02/01/2023","754.72","775.95","794.25","749.45","","-2.66%"
"03/01/2023","775.49","753.61","775.49","727.15","","2.75%"
"04/01/2023","787.12","774.67","790.05","769.78","","1.50%"
"05/01/2023","778.51","786.15","793.00","771.44","","-1.09%"
"06/01/2023","822.46","779.65","828.60","779.30","","5.65%"
"07/01/2023","850.00","822.53","851.60","807.49","","3.35%"
"08/01/2023","827.06","849.35","849.72","798.31","","-2.70%"
"09/01/2023","790.88","827.05","833.02","782.70","","-4.37%"
"10/01/2023","767.25","790.46","805.50","756.26","","-2.99%"
"11/01/2023","838.84","768.60","840.66","768.33","","9.33%"
"12/01/2023","879.34","838.39","980.67","835.31","","4.83%"
"01/01/2024","886.67","880.64","896.49","859.88","","0.83%"
"02/01/2024","922.18","884.94","958.26","883.74","","4.00%"
"03/01/2024","949.95","921.90","952.15","919.29","","3.01%"
"04/01/2024","914.01","949.93","950.42","897.92","","-3.78%"
"05/01/2024","950.67","913.29","962.98","910.41","","4.01%"
"06/01/2024","970.01","950.66","977.80","948.07","","2.03%"
"07/01/2024","986.14","970.15","1,008.13","962.68","","1.66%"
